T                1000 rstn done#############################
T              186618==process a frame          0, digit  7 =============
T           122220438==process a frame        661, digit  0 =============
T           122405058==process a frame        662, digit  9 =============
T           122589678==process a frame        663, digit  1 =============
T           122774298==process a frame        664, digit  8 =============
T           122958918==process a frame        665, digit  6 =============
T           123143538==process a frame        666, digit  7 =============
T           123328158==process a frame        667, digit  7 =============
T           123512778==process a frame        668, digit  4 =============
T           123697398==process a frame        669, digit  3 =============
T           123882018==process a frame        670, digit  4 =============
T           124066638==process a frame        671, digit  9 =============
T           124251258==process a frame        672, digit  1 =============
T           124435878==process a frame        673, digit  9 =============
T           124620498==process a frame        674, digit  3 =============
T           124805118==process a frame        675, digit  1 =============
T           124989738==process a frame        676, digit  7 =============
T           125174358==process a frame        677, digit  3 =============
T           125358978==process a frame        678, digit  9 =============
T           125543598==process a frame        679, digit  7 =============
T           125728218==process a frame        680, digit  6 =============
T           125912838==process a frame        681, digit  9 =============
T           126097458==process a frame        682, digit  1 =============
T           126282078==process a frame        683, digit  3 =============
T           126466698==process a frame        684, digit  3 =============
T           126651318==process a frame        685, digit  8 =============
T           126835938==process a frame        686, digit  3 =============
T           127020558==process a frame        687, digit  3 =============
T           127205178==process a frame        688, digit  6 =============
T           127389798==process a frame        689, digit  7 =============
T           127574418==process a frame        690, digit  2 =============
T           127759038==process a frame        691, digit  8 =============
T           127943658==process a frame        692, digit  5 =============
T           128128278==process a frame        693, digit  8 =============
T           128312898==process a frame        694, digit  5 =============
T           128497518==process a frame        695, digit  1 =============
T           128682138==process a frame        696, digit  1 =============
T           128866758==process a frame        697, digit  4 =============
T           129051378==process a frame        698, digit  4 =============
T           129235998==process a frame        699, digit  3 =============
T           129420618==process a frame        700, digit  1 =============
T           129605238==process a frame        701, digit  0 =============
T           129789858==process a frame        702, digit  7 =============
T           129974478==process a frame        703, digit  7 =============
T           130159098==process a frame        704, digit  0 =============
T           130343718==process a frame        705, digit  7 =============
T           130528338==process a frame        706, digit  9 =============
T           130712958==process a frame        707, digit  4 =============
T           130897578==process a frame        708, digit  4 =============
T           131082198==process a frame        709, digit  8 =============
T           131266818==process a frame        710, digit  5 =============
T           131451438==process a frame        711, digit  5 =============
T           131636058==process a frame        712, digit  4 =============
T           131820678==process a frame        713, digit  0 =============
T           132005298==process a frame        714, digit  8 =============
T           132189918==process a frame        715, digit  2 =============
T           132374538==process a frame        716, digit  1 =============
T           132559158==process a frame        717, digit  0 =============
T           132743778==process a frame        718, digit  8 =============
T           132928398==process a frame        719, digit  4 =============
T           133113018==process a frame        720, digit  8 =============
T           133297638==process a frame        721, digit  0 =============
T           133482258==process a frame        722, digit  4 =============
T           133666878==process a frame        723, digit  0 =============
T           133851498==process a frame        724, digit  6 =============
T           134036118==process a frame        725, digit  1 =============
T           134220738==process a frame        726, digit  7 =============
T           134405358==process a frame        727, digit  3 =============
T           134589978==process a frame        728, digit  2 =============
T           134774598==process a frame        729, digit  6 =============
T           134959218==process a frame        730, digit  7 =============
T           135143838==process a frame        731, digit  2 =============
T           135328458==process a frame        732, digit  6 =============
T           135513078==process a frame        733, digit  9 =============
T           135697698==process a frame        734, digit  3 =============
T           135882318==process a frame        735, digit  1 =============
T           136066938==process a frame        736, digit  4 =============
T           136251558==process a frame        737, digit  6 =============
T           136436178==process a frame        738, digit  2 =============
T           136620798==process a frame        739, digit  5 =============
T           136805418==process a frame        740, digit  4 =============
T           136990038==process a frame        741, digit  2 =============
T           137174658==process a frame        742, digit  0 =============
T           137359278==process a frame        743, digit  6 =============
T           137543898==process a frame        744, digit  2 =============
T           137728518==process a frame        745, digit  1 =============
T           137913138==process a frame        746, digit  7 =============
T           138097758==process a frame        747, digit  3 =============
T           138282378==process a frame        748, digit  4 =============
T           138466998==process a frame        749, digit  1 =============
T           138651618==process a frame        750, digit  0 =============
T           138836238==process a frame        751, digit  5 =============
T           139020858==process a frame        752, digit  4 =============
T           139205478==process a frame        753, digit  3 =============
T           139390098==process a frame        754, digit  1 =============
T           139574718==process a frame        755, digit  1 =============
T           139759338==process a frame        756, digit  7 =============
T           139943958==process a frame        757, digit  4 =============
T           140128578==process a frame        758, digit  9 =============
T           140313198==process a frame        759, digit  9 =============
T           140497818==process a frame        760, digit  4 =============
T           140682438==process a frame        761, digit  8 =============
T           140867058==process a frame        762, digit  4 =============
T           141051678==process a frame        763, digit  0 =============
T           141236298==process a frame        764, digit  2 =============
T           141420918==process a frame        765, digit  4 =============
T           141605538==process a frame        766, digit  5 =============
T           141790158==process a frame        767, digit  1 =============
T           141974778==process a frame        768, digit  1 =============
T           142159398==process a frame        769, digit  6 =============
T           142344018==process a frame        770, digit  4 =============
T           142528638==process a frame        771, digit  7 =============
T           142713258==process a frame        772, digit  1 =============
T           142897878==process a frame        773, digit  9 =============
T           143082498==process a frame        774, digit  4 =============
T           143267118==process a frame        775, digit  2 =============
T           143451738==process a frame        776, digit  4 =============
T           143636358==process a frame        777, digit  1 =============
T           143820978==process a frame        778, digit  5 =============
T           144005598==process a frame        779, digit  5 =============
T           144190218==process a frame        780, digit  3 =============
T           144374838==process a frame        781, digit  8 =============
T           144559458==process a frame        782, digit  3 =============
T           144744078==process a frame        783, digit  1 =============
T           144928698==process a frame        784, digit  4 =============
T           145113318==process a frame        785, digit  5 =============
T           145297938==process a frame        786, digit  6 =============
T           145482558==process a frame        787, digit  8 =============
T           145667178==process a frame        788, digit  9 =============
T           145851798==process a frame        789, digit  4 =============
T           146036418==process a frame        790, digit  1 =============
T           146221038==process a frame        791, digit  5 =============
T           146405658==process a frame        792, digit  3 =============
T           146590278==process a frame        793, digit  8 =============
T           146774898==process a frame        794, digit  0 =============
T           146959518==process a frame        795, digit  3 =============
T           147144138==process a frame        796, digit  2 =============
T           147328758==process a frame        797, digit  5 =============
T           147513378==process a frame        798, digit  1 =============
T           147697998==process a frame        799, digit  2 =============
T           147882618==process a frame        800, digit  8 =============
T           148067238==process a frame        801, digit  3 =============
T           148251858==process a frame        802, digit  4 =============
T           148436478==process a frame        803, digit  4 =============
T           148621098==process a frame        804, digit  0 =============
T           148805718==process a frame        805, digit  8 =============
T           148990338==process a frame        806, digit  8 =============
T           149174958==process a frame        807, digit  3 =============
T           149359578==process a frame        808, digit  3 =============
T           149544198==process a frame        809, digit  1 =============
T           149728818==process a frame        810, digit  7 =============
T           149913438==process a frame        811, digit  3 =============
T           150098058==process a frame        812, digit  5 =============
T           150282678==process a frame        813, digit  8 =============
T           150467298==process a frame        814, digit  6 =============
T           150651918==process a frame        815, digit  3 =============
T           150836538==process a frame        816, digit  2 =============
T           151021158==process a frame        817, digit  6 =============
T           151205778==process a frame        818, digit  1 =============
T           151390398==process a frame        819, digit  3 =============
T           151575018==process a frame        820, digit  6 =============
T           151759638==process a frame        821, digit  0 =============
T           151944258==process a frame        822, digit  7 =============
T           152128878==process a frame        823, digit  2 =============
T           152313498==process a frame        824, digit  1 =============
T           152498118==process a frame        825, digit  7 =============
T           152682738==process a frame        826, digit  1 =============
T           152867358==process a frame        827, digit  4 =============
T           153051978==process a frame        828, digit  2 =============
T           153236598==process a frame        829, digit  4 =============
T           153421218==process a frame        830, digit  2 =============
T           153605838==process a frame        831, digit  1 =============
T           153790458==process a frame        832, digit  7 =============
T           153975078==process a frame        833, digit  9 =============
T           154159698==process a frame        834, digit  6 =============
T           154344318==process a frame        835, digit  1 =============
T           154528938==process a frame        836, digit  1 =============
T           154713558==process a frame        837, digit  2 =============
T           154898178==process a frame        838, digit  4 =============
T           155082798==process a frame        839, digit  8 =============
T           155267418==process a frame        840, digit  1 =============
T           155452038==process a frame        841, digit  7 =============
T           155636658==process a frame        842, digit  7 =============
T           155821278==process a frame        843, digit  4 =============
T           156005898==process a frame        844, digit  8 =============
T           156190518==process a frame        845, digit  0 =============
T           156375138==process a frame        846, digit  7 =============
T           156559758==process a frame        847, digit  3 =============
T           156744378==process a frame        848, digit  1 =============
T           156928998==process a frame        849, digit  3 =============
T           157113618==process a frame        850, digit  1 =============
T           157298238==process a frame        851, digit  0 =============
T           157482858==process a frame        852, digit  7 =============
T           157667478==process a frame        853, digit  7 =============
T           157852098==process a frame        854, digit  0 =============
T           158036718==process a frame        855, digit  3 =============
T           158221338==process a frame        856, digit  5 =============
T           158405958==process a frame        857, digit  5 =============
T           158590578==process a frame        858, digit  2 =============
T           158775198==process a frame        859, digit  7 =============
T           158959818==process a frame        860, digit  6 =============
T           159144438==process a frame        861, digit  6 =============
T           159329058==process a frame        862, digit  9 =============
T           159513678==process a frame        863, digit  2 =============
T           159698298==process a frame        864, digit  8 =============
T           159882918==process a frame        865, digit  3 =============
T           160067538==process a frame        866, digit  5 =============
T           160252158==process a frame        867, digit  2 =============
T           160436778==process a frame        868, digit  2 =============
T           160621398==process a frame        869, digit  5 =============
T           160806018==process a frame        870, digit  6 =============
T           160990638==process a frame        871, digit  0 =============
T           161175258==process a frame        872, digit  8 =============
T           161359878==process a frame        873, digit  2 =============
T           161544498==process a frame        874, digit  9 =============
T           161729118==process a frame        875, digit  2 =============
T           161913738==process a frame        876, digit  8 =============
T           162098358==process a frame        877, digit  8 =============
T           162282978==process a frame        878, digit  8 =============
T           162467598==process a frame        879, digit  8 =============
T           162652218==process a frame        880, digit  7 =============
T           162836838==process a frame        881, digit  4 =============
T           163021458==process a frame        882, digit  9 =============
T           163206078==process a frame        883, digit  3 =============
T           163390698==process a frame        884, digit  0 =============
T           163575318==process a frame        885, digit  6 =============
T           163759938==process a frame        886, digit  6 =============
T           163944558==process a frame        887, digit  3 =============
T           164129178==process a frame        888, digit  2 =============
T           164313798==process a frame        889, digit  1 =============
T           164498418==process a frame        890, digit  3 =============
T           164683038==process a frame        891, digit  2 =============
T           164867658==process a frame        892, digit  2 =============
T           165052278==process a frame        893, digit  9 =============
T           165236898==process a frame        894, digit  3 =============
T           165421518==process a frame        895, digit  0 =============
T           165606138==process a frame        896, digit  0 =============
T           165790758==process a frame        897, digit  5 =============
T           165975378==process a frame        898, digit  7 =============
T           166159998==process a frame        899, digit  8 =============
run: Time (s): cpu = 00:52:01 ; elapsed = 01:34:17 . Memory (MB): peak = 1627.891 ; gain = 0.000
